# Find a root of x^2 - a = 0 with a = 1000000
# Iteration, x, error
       1   500000.5000000000000000   499000.5000000000000000
       2   250001.2499989999923855   249001.2499989999923855
       3   125002.6249895000510151   124002.6249895000510151
       4    62505.3124107521216501    61505.3124107521216501
       5    31260.6555254452759982    30260.6555254452759982
       6    15646.3223089532184531    14646.3223089532184531
       7     7855.1175458973511923     6855.1175458973511923
       8     3991.2115441616469980     2991.2115441616469980
       9     2120.8810160681787238     1120.8810160681787238
      10     1296.1915927068785095      296.1915927068785095
      11     1033.8412392442035070       33.8412392442035070
      12     1000.5538710539447038        0.5538710539447038
      13     1000.0001533016628628        0.0001533016628628
      14     1000.0000000000117097        0.0000000000117097
      15     1000.0000000000000000        0.0000000000000000
      16     1000.0000000000000000        0.0000000000000000
