#  t,  x,  z,  vx,  vz
1.100000 19.052559 5.124900 17.320508 -0.780000
1.110000 19.225764 5.117100 17.320508 -0.878000
1.120000 19.398969 5.108320 17.320508 -0.976000
1.130000 19.572174 5.098560 17.320508 -1.074000
1.140000 19.745379 5.087820 17.320508 -1.172000
1.150000 19.918584 5.076100 17.320508 -1.270000
1.160000 20.091789 5.063400 17.320508 -1.368000
1.170000 20.264994 5.049720 17.320508 -1.466000
1.180000 20.438200 5.035060 17.320508 -1.564000
1.190000 20.611405 5.019420 17.320508 -1.662000
1.200000 20.784610 5.002800 17.320508 -1.760000
1.210000 20.957815 4.985200 17.320508 -1.858000
1.220000 21.131020 4.966620 17.320508 -1.956000
1.230000 21.304225 4.947060 17.320508 -2.054000
1.240000 21.477430 4.926520 17.320508 -2.152000
1.250000 21.650635 4.905000 17.320508 -2.250000
1.260000 21.823840 4.882500 17.320508 -2.348000
1.270000 21.997045 4.859020 17.320508 -2.446000
1.280000 22.170250 4.834560 17.320508 -2.544000
1.290000 22.343455 4.809120 17.320508 -2.642000
1.300000 22.516660 4.782700 17.320508 -2.740000
1.310000 22.689866 4.755300 17.320508 -2.838000
1.320000 22.863071 4.726920 17.320508 -2.936000
1.330000 23.036276 4.697560 17.320508 -3.034000
1.340000 23.209481 4.667220 17.320508 -3.132000
1.350000 23.382686 4.635900 17.320508 -3.230000
1.360000 23.555891 4.603600 17.320508 -3.328000
1.370000 23.729096 4.570320 17.320508 -3.426000
1.380000 23.902301 4.536060 17.320508 -3.524000
1.390000 24.075506 4.500820 17.320508 -3.622000
1.400000 24.248711 4.464600 17.320508 -3.720000
1.410000 24.421916 4.427400 17.320508 -3.818000
1.420000 24.595121 4.389220 17.320508 -3.916000
1.430000 24.768327 4.350060 17.320508 -4.014000
1.440000 24.941532 4.309920 17.320508 -4.112000
1.450000 25.114737 4.268800 17.320508 -4.210000
1.460000 25.287942 4.226700 17.320508 -4.308000
1.470000 25.461147 4.183620 17.320508 -4.406000
1.480000 25.634352 4.139560 17.320508 -4.504000
1.490000 25.807557 4.094520 17.320508 -4.602000
1.500000 25.980762 4.048500 17.320508 -4.700000
1.510000 26.153967 4.001500 17.320508 -4.798000
1.520000 26.327172 3.953520 17.320508 -4.896000
1.530000 26.500377 3.904560 17.320508 -4.994000
1.540000 26.673582 3.854620 17.320508 -5.092000
1.550000 26.846788 3.803700 17.320508 -5.190000
1.560000 27.019993 3.751800 17.320508 -5.288000
1.570000 27.193198 3.698920 17.320508 -5.386000
1.580000 27.366403 3.645060 17.320508 -5.484000
